Wall time,Step,Value
1718883987.433494,50,1.3350651264190674
1718884005.1211941,101,1.2823487520217896
1718884022.8229961,152,1.3060444593429565
1718884040.4731274,203,1.3118010759353638
1718884058.1566262,254,1.3143879175186157
1718884075.833765,305,1.2974594831466675
1718884093.4713573,356,1.2958643436431885
1718884111.1247163,407,1.3059386014938354
1718884128.7292898,458,1.295097827911377
1718884146.3551269,509,1.2801448106765747
1718884164.0393646,560,1.2766987085342407
1718884181.6728125,611,1.2747982740402222
1718884199.252394,662,1.2759795188903809
1718884216.88821,713,1.2708353996276855
1718884235.5556552,764,1.2644838094711304
1718884253.0746207,815,1.2679836750030518
1718884270.5999649,866,1.2656662464141846
1718884288.1282125,917,1.2610466480255127
1718884305.759739,968,1.263337254524231
1718884323.3782687,1019,1.2641205787658691
1718884340.952235,1070,1.2668575048446655
1718884358.5401459,1121,1.2563834190368652
1718884376.1210375,1172,1.2573310136795044
1718884393.688234,1223,1.2469823360443115
1718884411.2975588,1274,1.225191593170166
1718884428.9204602,1325,1.2012522220611572
1718884446.4285753,1376,1.1992300748825073
1718884463.961717,1427,1.1936051845550537
1718884481.5858972,1478,1.1843174695968628
1718884499.20813,1529,1.1618661880493164
1718884516.922706,1580,1.1646798849105835
1718884534.5491927,1631,1.1638449430465698
1718884552.0319774,1682,1.1755790710449219
1718884569.5635898,1733,1.115321397781372
1718884587.1790695,1784,1.1292039155960083
1718884605.0016928,1835,1.1328774690628052
1718884623.0610547,1886,1.1044238805770874
1718884640.6819108,1937,1.0943586826324463
1718884658.3150275,1988,1.1389713287353516
1718884675.9040375,2039,1.0679324865341187
1718884693.5506046,2090,1.0919710397720337
1718884711.1689606,2141,1.0638755559921265
1718884728.819451,2192,1.0064194202423096
1718884746.4055035,2243,1.0203708410263062
1718884764.0686364,2294,1.0133951902389526
1718884781.6392477,2345,0.9964900612831116
1718884799.4176564,2396,1.0244086980819702
1718884817.1829033,2447,0.9768867492675781
1718884834.8761542,2498,1.0055227279663086
1718884852.6737988,2549,0.9749119281768799
1718884870.2456884,2600,0.9691410064697266
1718884887.843508,2651,0.9717544317245483
1718884905.4662535,2702,0.9434857368469238
1718884923.0945854,2753,0.9790725708007812
1718884940.6823328,2804,0.9536572694778442
1718884958.355203,2855,0.9529625773429871
1718884975.9223113,2906,0.9610456228256226
1718884993.6358452,2957,0.9481467604637146
1718885011.3346407,3008,0.9584429264068604
1718885028.9876702,3059,0.9321613907814026
1718885046.747948,3110,0.9318491816520691
1718885064.4463654,3161,0.931824266910553
1718885082.1674538,3212,0.9272638559341431
1718885099.686135,3263,0.9370456337928772
1718885117.1913671,3314,0.928757905960083
1718885134.7919202,3365,0.9236453771591187
1718885152.3130891,3416,0.9179399013519287
1718885169.8586364,3467,0.91993647813797
1718885187.4543767,3518,0.9267492890357971
1718885205.107591,3569,0.9260318279266357
1718885222.690292,3620,0.9191032648086548
1718885240.3066432,3671,0.9217427968978882
1718885257.9486558,3722,0.9238827228546143
1718885275.5952094,3773,0.9228246808052063
1718885293.203191,3824,0.9196844696998596
1718885310.867382,3875,0.9199458956718445
1718885328.389135,3926,0.920432984828949
1718885345.9601557,3977,0.9203754663467407
1718885363.4909399,4028,0.9185602068901062
1718885381.0339472,4079,0.9220110177993774
1718885398.6802506,4130,0.9209126830101013
1718885416.3622959,4181,0.9230862855911255
1718885433.9161215,4232,0.9228361248970032
1718885451.4928896,4283,0.9211885333061218
1718885469.1242187,4334,0.9219576120376587
1718885486.8179688,4385,0.9229572415351868
1718885504.4462736,4436,0.9222202897071838
